source_url,name,phone,website_url,address,employees_range,establish_date
https://www.yelu.uk/company/1195625/jordan-and-halstead,Jordan and Halstead,01244 794 093,www.jordanandhalstead.co.uk,"19 Grosvenor Street Chester, Cheshire CH1 2DD, United Kingdom",26-50,2006
https://www.yelu.uk/company/1188352/globe-residential,Globe Residential Estate Agent Bethnal Green,020 7729 2122,www.globeresidential.co.uk,"1G Hollybush Place, Bethnal Green, London E2 9QX, United Kingdom",1-5,2010
https://www.yelu.uk/company/1195525/miller-metcalfe,Miller Metcalfe,01942 313 525,millermetcalfe.co.uk/contact-us/hindley-estate-agents,"33 Market Street Hindley, WN2 3AE, Manchester, Cheshire, United Kingdom",11-15,2017
https://www.yelu.uk/company/1187401/agents-r-us,Agents R Us,02082655667,www.agentsrus.co.uk/,"190 High Street, London, London, United Kingdom",6-10,2013
https://www.yelu.uk/company/1183259/hunters-estate-agents-wokingham,Hunters Estate Agents Wokingham,441189795618,www.huntersnet.co.uk/offices/wokingham,"43c Peach Street, Wokingham, Berkshire, United Kingdom",1-5,2008
https://www.yelu.uk/company/1195532/miller-metcalfe,Miller Metcalfe,01204 308 000,millermetcalfe.co.uk/contact-us/harwood-estate-agents,"87a Lea Gate Harwood, BL2 4BQ, Holywood, Cheshire, United Kingdom",11-15,2006
https://www.yelu.uk/company/1191406/euro-resales-limited,Euro ReSales Limited,+44 208 050 5046,www.euroresales.com,"22 Base Point, Folkestone, Kent, United Kingdom",N/A,N/A
https://www.yelu.uk/company/1192327/whitegates-chester,Whitegates Chester,01244 348349,www.whitegates.co.uk/estate-agents-and-letting-agents/branch/chester,"11 Grosvenor Street, Chester, Cheshire, United Kingdom",N/A,N/A
https://www.yelu.uk/company/1191217/elite-property,Elite Property,02476 652 200,www.eliteproperty.co/,"112 Walsgrave Rd, Coventry, West Midlands CV2 4ED, Warwickshire, United Kingdom",11-15,1999
https://www.yelu.uk/company/550676/apex-housing-group-ltd,Apex Housing Group Ltd.,+44 (0)207 135 2050,www.apexhousingsolutions.co.uk/,"91-93 Baker Street , London, London, United Kingdom",16-25,2008
